n	sd.het	d.het	lo	hi	ci	lo.tval	hi.tval	ci.tval	over
20	0	0	-0.619815761514706	0.619815761514707	1.23963152302941	-0.619815761514706	0.619815761514707	1.23963152302941	1
30	0	0	-0.506089491804875	0.506089491804874	1.01217898360975	-0.506089491804875	0.506089491804874	1.01217898360975	1
40	0	0	-0.438261216863417	0.438261216863417	0.876522433726833	-0.438261216863417	0.438261216863417	0.876522433726833	1
50	0	0	-0.39199393051968	0.39199393051968	0.783987861039359	-0.39199393051968	0.39199393051968	0.783987861039359	1
60	0	0	-0.357835196656047	0.357835196656047	0.715670393312094	-0.357835196656047	0.357835196656047	0.715670393312094	1
70	0	0	-0.331284709976391	0.331284709976391	0.662569419952781	-0.331284709976391	0.331284709976391	0.662569419952781	1
80	0	0	-0.309900667832386	0.309900667832386	0.619801335664771	-0.309900667832386	0.309900667832386	0.619801335664771	1
90	0	0	-0.292182931613665	0.292182931613665	0.58436586322733	-0.292182931613665	0.292182931613665	0.58436586322733	1
100	0	0	-0.277193419913382	0.277193419913382	0.554386839826764	-0.277193419913382	0.277193419913382	0.554386839826764	1
110	0	0	-0.264293646856554	0.264293646856554	0.528587293713107	-0.264293646856554	0.264293646856554	0.528587293713107	1
120	0	0	-0.253027167247347	0.253027167247347	0.506054334494694	-0.253027167247347	0.253027167247347	0.506054334494694	1
130	0	0	-0.24310277685962	0.24310277685962	0.48620555371924	-0.24310277685962	0.24310277685962	0.48620555371924	1
140	0	0	-0.234260396383323	0.234260396383323	0.468520792766646	-0.234260396383323	0.234260396383323	0.468520792766646	1
150	0	0	-0.226329032467469	0.226329032467469	0.452658064934937	-0.226329032467469	0.226329032467469	0.452658064934937	1
160	0	0	-0.219131870372533	0.219131870372533	0.438263740745067	-0.219131870372533	0.219131870372533	0.438263740745067	1
170	0	0	-0.212588808804352	0.212588808804352	0.425177617608704	-0.212588808804352	0.212588808804352	0.425177617608704	1
180	0	0	-0.20657713915373	0.20657713915373	0.41315427830746	-0.20657713915373	0.20657713915373	0.41315427830746	1
190	0	0	-0.201081636459077	0.201081636459077	0.402163272918154	-0.201081636459077	0.201081636459077	0.402163272918154	1
200	0	0	-0.19599515782741	0.19599515782741	0.39199031565482	-0.19599515782741	0.19599515782741	0.39199031565482	1
210	0	0	-0.191272796122074	0.191272796122074	0.382545592244148	-0.191272796122074	0.191272796122074	0.382545592244148	1
220	0	0	-0.186883019859741	0.186883019859741	0.373766039719481	-0.186883019859741	0.186883019859741	0.373766039719481	1
230	0	0	-0.182780773318545	0.182780773318545	0.365561546637089	-0.182780773318545	0.182780773318545	0.365561546637089	1
240	0	0	-0.178915309808828	0.178915309808828	0.357830619617655	-0.178915309808828	0.178915309808828	0.357830619617655	1
250	0	0	-0.175317205501965	0.175317205501965	0.35063441100393	-0.175317205501965	0.175317205501965	0.35063441100393	1
260	0	0	-0.171894847143023	0.171894847143023	0.343789694286047	-0.171894847143023	0.171894847143023	0.343789694286047	1
270	0	0	-0.168658091049102	0.168658091049102	0.337316182098204	-0.168658091049102	0.168658091049102	0.337316182098204	1
280	0	0	-0.165652570838737	0.165652570838737	0.331305141677474	-0.165652570838737	0.165652570838737	0.331305141677474	1
290	0	0	-0.162767665366817	0.162767665366817	0.325535330733634	-0.162767665366817	0.162767665366817	0.325535330733634	1
300	0	0	-0.160032171721706	0.160032171721706	0.320064343443412	-0.160032171721706	0.160032171721706	0.320064343443412	1
310	0	0	-0.157430039557994	0.157430039557994	0.314860079115988	-0.157430039557994	0.157430039557994	0.314860079115988	1
320	0	0	-0.154950747611443	0.154950747611443	0.309901495222887	-0.154950747611443	0.154950747611443	0.309901495222887	1
330	0	0	-0.152584914529835	0.152584914529835	0.305169829059671	-0.152584914529835	0.152584914529835	0.305169829059671	1
340	0	0	-0.150324145144535	0.150324145144535	0.30064829028907	-0.150324145144535	0.150324145144535	0.30064829028907	1
350	0	0	-0.14816089952248	0.14816089952248	0.29632179904496	-0.14816089952248	0.14816089952248	0.29632179904496	1
360	0	0	-0.146086412987968	0.146086412987968	0.292172825975936	-0.146086412987968	0.146086412987968	0.292172825975936	1
370	0	0	-0.144098959551201	0.144098959551201	0.288197919102401	-0.144098959551201	0.144098959551201	0.288197919102401	1
380	0	0	-0.142190438071361	0.142190438071361	0.284380876142722	-0.142190438071361	0.142190438071361	0.284380876142722	1
390	0	0	-0.140355758546541	0.140355758546541	0.280711517093083	-0.140355758546541	0.140355758546541	0.280711517093083	1
400	0	0	-0.138590282306354	0.138590282306354	0.277180564612708	-0.138590282306354	0.138590282306354	0.277180564612708	1
20	0.05	0	-0.62749544436075	0.62749544436075	1.2549908887215	-0.619815761514706	0.619815761514707	1.23963152302941	1.01239026711305
30	0.05	0	-0.515478079358383	0.515478079358383	1.03095615871677	-0.506089491804875	0.506089491804874	1.01217898360975	1.01855123986081
40	0.05	0	-0.44908354243557	0.44908354243557	0.89816708487114	-0.438261216863417	0.438261216863417	0.876522433726833	1.02469377886003
50	0.05	0	-0.404068047163191	0.404068047163191	0.808136094326381	-0.39199393051968	0.39199393051968	0.783987861039359	1.03080179488367
60	0.05	0	-0.371017490866704	0.371017490866704	0.742034981733407	-0.357835196656047	0.357835196656047	0.715670393312094	1.0368390095045
70	0.05	0	-0.345488526967876	0.345488526967876	0.690977053935752	-0.331284709976391	0.331284709976391	0.662569419952781	1.04287495487642
80	0.05	0	-0.325019432961288	0.325019432961289	0.650038865922577	-0.309900667832386	0.309900667832386	0.619801335664771	1.0487858423625
90	0.05	0	-0.308174657983379	0.308174657983379	0.616349315966757	-0.292182931613665	0.292182931613665	0.58436586322733	1.05473189786068
100	0.05	0	-0.294002730271824	0.294002730271824	0.588005460543648	-0.277193419913382	0.277193419913382	0.554386839826764	1.06064108723683
110	0.05	0	-0.281877636771675	0.281877636771675	0.56375527354335	-0.264293646856554	0.264293646856554	0.528587293713107	1.06653201892766
