n	sig.level	sd.het	pval	pval.tval	over	over.tval
20	0.05	0	0.0499999999999999	0.0499999999999999	0.999999999999999	0.999999999999999
30	0.05	0	0.05	0.05	1	1
40	0.05	0	0.05	0.05	0.999999999999999	0.999999999999999
50	0.05	0	0.05	0.05	1	1
60	0.05	0	0.0500000000000023	0.0500000000000023	1.00000000000004	1.00000000000004
70	0.05	0	0.050000000000001	0.050000000000001	1.00000000000002	1.00000000000002
80	0.05	0	0.0500000000000005	0.0500000000000005	1.00000000000001	1.00000000000001
90	0.05	0	0.0500000000000002	0.0500000000000002	1	1
100	0.05	0	0.0500000000000002	0.0500000000000002	1	1
110	0.05	0	0.0500000000000001	0.0500000000000001	1	1
120	0.05	0	0.0500000000000001	0.0500000000000001	1	1
130	0.05	0	0.0500000000000001	0.0500000000000001	1	1
140	0.05	0	0.0500000000000001	0.0500000000000001	1	1
150	0.05	0	0.05	0.05	1	1
160	0.05	0	0.0500000000000001	0.0500000000000001	1	1
170	0.05	0	0.05	0.05	1	1
180	0.05	0	0.05	0.05	1	1
190	0.05	0	0.0500000000000001	0.0500000000000001	1	1
200	0.05	0	0.05	0.05	1	1
210	0.05	0	0.05	0.05	1	1
220	0.05	0	0.05	0.05	1	1
230	0.05	0	0.0500000000000001	0.0500000000000001	1	1
240	0.05	0	0.05	0.05	1	1
250	0.05	0	0.0500000000000001	0.0500000000000001	1	1
260	0.05	0	0.05	0.05	1	1
270	0.05	0	0.05	0.05	1	1
280	0.05	0	0.0500000000000001	0.0500000000000001	1	1
290	0.05	0	0.05	0.05	1	1
300	0.05	0	0.05	0.05	1	1
310	0.05	0	0.0500000000000001	0.0500000000000001	1	1
320	0.05	0	0.05	0.05	1	1
330	0.05	0	0.05	0.05	1	1
340	0.05	0	0.05	0.05	1	1
350	0.05	0	0.0500000000000001	0.0500000000000001	1	1
360	0.05	0	0.05	0.05	1	1
370	0.05	0	0.05	0.05	1	1
380	0.05	0	0.0500000000000001	0.0500000000000001	1	1
390	0.05	0	0.05	0.05	1	1
400	0.05	0	0.05	0.05	1	1
20	0.05	0.05	0.0499999999999999	0.0527353036883637	0.999999999999998	1.05470607376727
30	0.05	0.05	0.05	0.0541852285438338	1	1.08370457087668
40	0.05	0.05	0.05	0.0556406789638574	0.999999999999999	1.11281357927715
