n	sd.het	d	ci.lo	ci.hi	ci.tval.lo	ci.tval.hi	over
20	0	0	-0.619815761514706	0.619815761514707	-0.619815761514706	0.619815761514707	1
100	0	0	-0.277193419913382	0.277193419913382	-0.277193419913382	0.277193419913382	1
200	0	0	-0.19599515782741	0.19599515782741	-0.19599515782741	0.19599515782741	1
300	0	0	-0.160032171721706	0.160032171721706	-0.160032171721706	0.160032171721706	1
400	0	0	-0.138590282306354	0.138590282306354	-0.138590282306354	0.138590282306354	1
20	0.2	0	-0.733352640435826	0.733352640435826	-0.619815761514706	0.619815761514707	1.18317843135137
100	0.2	0	-0.480080057183447	0.480080057183447	-0.277193419913382	0.277193419913382	1.73193165022988
200	0.2	0	-0.438261216863417	0.438261216863417	-0.19599515782741	0.19599515782741	2.23608185896787
300	0.2	0	-0.423402318505199	0.423402318505199	-0.160032171721706	0.160032171721706	2.64573250459595
400	0.2	0	-0.415795321704419	0.415795321704419	-0.138590282306354	0.138590282306354	3.00017659813481
20	0.4	0	-0.999390628243506	0.999390628243507	-0.619815761514706	0.619815761514707	1.61239950691347
100	0.4	0	-0.831543380641072	0.831543380641072	-0.277193419913382	0.277193419913382	2.99986695535888
200	0.4	0	-0.808115400893884	0.808115400893884	-0.19599515782741	0.19599515782741	4.12313962167114
300	0.4	0	-0.800153611151807	0.800153611151807	-0.160032171721706	0.160032171721706	4.99995471250158
400	0.4	0	-0.796142847044086	0.796142847044086	-0.138590282306354	0.138590282306354	5.74457915659781
20	0	0.5	-0.133017275729374	1.12663385408644	-0.133017275729374	1.12663385408644	1
100	0	0.5	0.217869651315112	0.780905329616392	0.217869651315112	0.780905329616392	1
200	0	0.5	0.300646939255113	0.698738003242536	0.300646939255113	0.698738003242536	1
300	0	0.5	0.337257272766246	0.662332353130568	0.337257272766246	0.662332353130568	1
400	0	0.5	0.359112596463816	0.640585042521093	0.359112596463816	0.640585042521093	1
20	0.2	0.5	-0.245088660284848	1.23865512714146	-0.133017275729374	1.12663385408644	1.17790057286993
100	0.2	0.5	0.0167600779992313	0.982002094899918	0.217869651315112	0.780905329616392	1.71435320016112
200	0.2	0.5	0.0600522438791756	0.939317749553092	0.300646939255113	0.698738003242536	2.20870445286281
300	0.2	0.5	0.0754430433196839	0.924160943165797	0.337257272766246	0.662332353130568	2.61083654549874
400	0.2	0.5	0.0833484538192823	0.916311213386782	0.359112596463816	0.640585042521093	2.95930479602966
20	0.4	0.5	-0.508888366892401	1.50241005353431	-0.133017275729374	1.12663385408644	1.59671068664924
100	0.4	0.5	-0.333626033964341	1.33237293013274	0.217869651315112	0.780905329616392	2.9589580701591
200	0.4	0.5	-0.309175166585672	1.30855018166002	0.300646939255113	0.698738003242536	4.06370676106611
300	0.4	0.5	-0.300884644568698	1.30044935735397	0.337257272766246	0.662332353130568	4.92604354701074
400	0.4	0.5	-0.296675186192065	1.29636742191913	0.359112596463816	0.640585042521093	5.65967514911574
