n	d.het	sd.het	meand	meand.tval
20	0	0	0.774143980524202	0.774143980524202
100	0	0	0.333496568144508	0.333496568144508
200	0	0	0.234789355646506	0.234789355646506
300	0	0	0.191428345851079	0.191428345851079
400	0	0	0.165662704593509	0.165662704593509
20	0.5	0	0.868621432492702	0.868621432492702
100	0.5	0	0.519873419547179	0.519873419547179
200	0.5	0	0.501354344673436	0.501354344673436
300	0.5	0	0.500634036018254	0.500634036018254
400	0.5	0	0.500470601723093	0.500470601723093
20	0	0.2	0.915979510477601	0.810278930120643
100	0	0.2	0.577633000183867	0.402550648530703
200	0	0.2	0.525004826201929	0.320179226975418
300	0	0.2	0.506471794408684	0.286115357185253
400	0	0.2	0.49698811378072	0.266642417020201
20	0.5	0.2	1.00322849357224	0.913941897525024
100	0.5	0.2	0.687963615928856	0.581957969356469
200	0.5	0.2	0.64330427736007	0.53997761792196
300	0.5	0.2	0.628177973397942	0.527250081514338
400	0.5	0.2	0.62058491380121	0.521273628630578
20	0	0.4	1.24826966106239	0.902008781624905
100	0	0.4	1.00048970444483	0.535718488896915
200	0	0.4	0.968061313615325	0.464334047338183
300	0	0.4	0.957141724327968	0.434733585973637
400	0	0.4	0.951659784724175	0.417700638716887
20	0.5	0.4	1.32637909182747	1.02166911044895
100	0.5	0.4	1.08284766521073	0.714135758111689
200	0.5	0.4	1.05124714681596	0.664383790452418
300	0.5	0.4	1.04062593791188	0.645318367264407
400	0.5	0.4	1.03529775834087	0.634814955241852
