n	d.het	sd.het	power	power.tval	power.d2t	over	over.tval
20	0	0	0.025	0.025	0.025	1	1
100	0	0	0.0250000000000001	0.0250000000000001	0.0250000000000001	1	1
200	0	0	0.025	0.025	0.025	1	1
300	0	0	0.025	0.025	0.025	1	1
400	0	0	0.025	0.025	0.025	0.999999999999999	0.999999999999999
20	0.5	0	0.337708365563488	0.337708365563488	0.337708365563488	1	1
100	0.5	0	0.940427182324771	0.940427182324771	0.940427182324771	1	1
200	0.5	0	0.998768858824318	0.998768858824318	0.998768858824318	1	1
300	0.5	0	0.999983657348775	0.999983657348775	0.999983657348775	1	1
400	0.5	0	0.999999832468834	0.999999832468834	0.999999832468834	1	1
20	0	0.2	0.025	0.0476239692569188	0.025	1	1.90495877027676
100	0	0.2	0.0250000000000001	0.128134371084362	0.0250000000000001	1	5.12537484337447
200	0	0.2	0.025	0.189912721549048	0.025	1	7.59650886196193
300	0	0.2	0.025	0.229098788874823	0.025	1	9.16395155499292
400	0	0.2	0.025	0.256549112323646	0.025	1	10.2619644929458
20	0.5	0.2	0.255490659288179	0.360724564916798	0.337708365563488	0.756542287194682	1.06815406931038
100	0.5	0.2	0.528448837754708	0.816646611036778	0.940427182324771	0.561924248561556	0.868378356544307
200	0.5	0.2	0.606691421894399	0.912572146550027	0.998768858824318	0.607439265385742	0.913697036593877
300	0.5	0.2	0.637156280111826	0.942047835689086	0.999983657348775	0.637166693104864	0.942063231499909
400	0.5	0.2	0.653291151057615	0.955686530645182	0.999999832468834	0.653291260504262	0.955686690752488
20	0	0.4	0.025	0.10848576859724	0.025	1	4.3394307438896
100	0	0.4	0.0250000000000001	0.255863128765954	0.0250000000000001	1	10.2345251506381
200	0	0.4	0.025	0.316879180181989	0.025	1	12.6751672072796
300	0	0.4	0.025	0.347308102032374	0.025	1	13.892324081295
400	0	0.4	0.025	0.366331735874525	0.025	1	14.653269434981
20	0.5	0.4	0.157688409186652	0.395925917382493	0.337708365563488	0.466936639024438	1.17239001977894
100	0.5	0.4	0.215592943837238	0.699066519459779	0.940427182324771	0.229250013067768	0.743349971798625
200	0.5	0.4	0.226563854728911	0.769153351154531	0.998768858824318	0.226843130647472	0.770101454764945
300	0.5	0.4	0.230504772738765	0.797314612657539	0.999983657348775	0.230508539859436	0.797327643105122
400	0.5	0.4	0.232533092137114	0.813075094533628	0.999999832468834	0.232533131093661	0.81307523074907
