n	d.het	sd.het	power	power.tval	power.d2t	over	over.tval
20	0	0	0.03	0.03	0.025	1.2	1.2
100	0	0	0.03	0.03	0.0250000000000001	1.2	1.2
200	0	0	0.03	0.03	0.025	1.2	1.2
300	0	0	0.031	0.031	0.025	1.24	1.24
400	0	0	0.032	0.032	0.025	1.28	1.28
20	0.5	0	0.336	0.336	0.337708365563488	0.99494129924606	0.99494129924606
100	0.5	0	0.931	0.931	0.940427182324771	0.989975638197243	0.989975638197243
200	0.5	0	0.999	0.999	0.998768858824318	1.00023142609388	1.00023142609388
300	0.5	0	1	1	0.999983657348775	1.00001634291831	1.00001634291831
400	0.5	0	1	1	0.999999832468834	1.00000016753119	1.00000016753119
20	0	0.2	0.021	0.036	0.025	0.840000000000001	1.44
100	0	0.2	0.023	0.129	0.0250000000000001	0.919999999999997	5.15999999999998
200	0	0.2	0.027	0.196	0.025	1.08	7.83999999999999
300	0	0.2	0.024	0.239	0.025	0.96	9.56
400	0	0.2	0.03	0.26	0.025	1.2	10.4
20	0.5	0.2	0.245	0.346	0.337708365563488	0.725478030700252	1.02455264743791
100	0.5	0.2	0.517	0.792	0.940427182324771	0.549750166431766	0.842170467725259
200	0.5	0.2	0.621	0.912	0.998768858824318	0.621765481085382	0.913124184782397
300	0.5	0.2	0.635	0.93	0.999983657348775	0.635010377753128	0.930015198914029
400	0.5	0.2	0.655	0.953	0.999999832468834	0.655000109732932	0.953000159657228
20	0	0.4	0.028	0.109	0.025	1.12	4.36
100	0	0.4	0.022	0.239	0.0250000000000001	0.879999999999997	9.55999999999997
200	0	0.4	0.026	0.301	0.025	1.04	12.04
300	0	0.4	0.024	0.343	0.025	0.96	13.72
400	0	0.4	0.03	0.375	0.025	1.2	15
20	0.5	0.4	0.153	0.391	0.337708365563488	0.453053627335259	1.15780371430122
100	0.5	0.4	0.224	0.705	0.940427182324771	0.238189627235427	0.7496593178615
200	0.5	0.4	0.241	0.78	0.998768858824318	0.241297070759383	0.78096147382705
300	0.5	0.4	0.228	0.795	0.999983657348775	0.228003726185375	0.795012992620057
400	0.5	0.4	0.229	0.819	0.999999832468834	0.229000038364643	0.819000137208048
