n	sd.het	pval	pval.tval	over	over.tval
20	0	0.0499999999999999	0.0499999999999999	0.999999999999999	0.999999999999999
100	0	0.0500000000000002	0.0500000000000002	1	1
200	0	0.05	0.05	1	1
300	0	0.05	0.05	1	1
400	0	0.05	0.05	1	1
20	0.2	0.0499999999999999	0.0952479385138377	0.999999999999998	1.90495877027675
100	0.2	0.0500000000000002	0.256268742168724	1	5.12537484337449
200	0.2	0.05	0.379825443098097	1	7.59650886196193
300	0.2	0.05	0.458197577749646	1	9.16395155499292
400	0.2	0.05	0.513098224647293	1	10.2619644929459
20	0.4	0.0499999999999999	0.21697153719448	0.999999999999998	4.33943074388959
100	0.4	0.0500000000000002	0.511726257531908	1	10.2345251506382
200	0.4	0.05	0.633758360363978	1	12.6751672072796
300	0.4	0.05	0.694616204064749	1	13.892324081295
400	0.4	0.0500000000000001	0.73266347174905	1	14.653269434981
