n	sig.level	sd.het	pval	pval.tval	over	over.tval
20	0.05	0	0.049	0.049	0.98	0.98
100	0.05	0	0.046	0.046	0.92	0.92
200	0.05	0	0.039	0.039	0.78	0.78
300	0.05	0	0.055	0.055	1.1	1.1
400	0.05	0	0.045	0.045	0.9	0.9
20	0.05	0.2	0.047	0.095	0.94	1.9
100	0.05	0.2	0.05	0.284	1	5.68
200	0.05	0.2	0.049	0.378	0.98	7.56
300	0.05	0.2	0.065	0.476	1.3	9.52
400	0.05	0.2	0.056	0.529	1.12	10.58
20	0.05	0.4	0.046	0.229	0.92	4.58
100	0.05	0.4	0.051	0.504	1.02	10.08
200	0.05	0.4	0.048	0.65	0.96	13
300	0.05	0.4	0.034	0.669	0.68	13.38
400	0.05	0.4	0.045	0.728	0.9	14.56
