n	d.het	sd.het	cover	cover.tval	cover.sig	cover.tsig	over	over.tval	over.sig	over.tsig
20	0	0	0.946	0.946	0	0	0.995789473684211	0.995789473684211	0	0
100	0	0	0.965	0.965	0	0	1.01578947368421	1.01578947368421	0	0
200	0	0	0.946	0.946	0	0	0.995789473684211	0.995789473684211	0	0
300	0	0	0.958	0.958	0	0	1.00842105263158	1.00842105263158	0	0
400	0	0	0.95	0.95	0	0	1	1	0	0
20	0.5	0	0.939	0.939	0.897897897897898	0.897897897897898	0.988421052631579	0.988421052631579	0.945155681997787	0.945155681997787
100	0.5	0	0.945	0.945	0.965005302226935	0.965005302226935	0.994736842105263	0.994736842105263	1.01579505497572	1.01579505497572
200	0.5	0	0.946	0.946	0.946946946946947	0.946946946946947	0.995789473684211	0.995789473684211	0.996786259944155	0.996786259944155
300	0.5	0	0.956	0.956	0.956	0.956	1.00631578947368	1.00631578947368	1.00631578947368	1.00631578947368
400	0.5	0	0.946	0.946	0.946	0.946	0.995789473684211	0.995789473684211	0.995789473684211	0.995789473684211
20	0	0.2	0.954	0.92	0	0	1.00421052631579	0.968421052631579	0	0
100	0	0.2	0.946	0.718	0	0	0.995789473684211	0.755789473684211	0	0
200	0	0.2	0.952	0.613	0	0	1.00210526315789	0.645263157894737	0	0
300	0	0.2	0.949	0.563	0	0	0.998947368421053	0.592631578947368	0	0
400	0	0.2	0.946	0.48	0	0	0.995789473684211	0.505263157894737	0	0
20	0.5	0.2	0.959	0.909	0.899581589958159	0.864553314121037	1.00947368421053	0.956842105263158	0.946927989429641	0.910056120127408
100	0.5	0.2	0.95	0.735	0.951830443159923	0.844827586206897	1	0.773684210526316	1.0019267822736	0.88929219600726
200	0.5	0.2	0.955	0.619	0.966074313408724	0.680968096809681	1.00526315789474	0.651578947368421	1.01692032990392	0.716808522957559
300	0.5	0.2	0.948	0.55	0.958268933539413	0.578338590956887	0.997894736842105	0.578947368421053	1.0087041405678	0.608777464165145
400	0.5	0.2	0.938	0.479	0.942942942942943	0.502623294858342	0.987368421052632	0.504210526315789	0.992571518887308	0.529077152482465
20	0	0.4	0.968	0.789	0	0	1.01894736842105	0.830526315789474	0	0
100	0	0.4	0.955	0.482	0	0	1.00526315789474	0.507368421052632	0	0
200	0	0.4	0.949	0.359	0	0	0.998947368421053	0.377894736842105	0	0
300	0	0.4	0.955	0.302	0	0	1.00526315789474	0.317894736842105	0	0
400	0	0.4	0.946	0.302	0	0	0.995789473684211	0.317894736842105	0	0
20	0.5	0.4	0.935	0.792	0.792899408284024	0.696682464454976	0.98421052631579	0.833684210526316	0.834630956088446	0.733349962584186
100	0.5	0.4	0.936	0.491	0.885714285714286	0.6	0.985263157894737	0.516842105263158	0.932330827067669	0.631578947368421
200	0.5	0.4	0.96	0.368	0.911016949152542	0.446601941747573	1.01052631578947	0.387368421052632	0.958965209634255	0.470107307102708
300	0.5	0.4	0.961	0.31	0.908333333333333	0.358381502890173	1.01157894736842	0.326315789473684	0.956140350877193	0.377243687252814
400	0.5	0.4	0.947	0.245	0.87012987012987	0.280320366132723	0.996842105263158	0.257894736842105	0.915926179084074	0.295074069613393
