n	d.het	sd.het	meand	meand.tval	meand.all	over	over.tval	over.all
20	0	0	0.774143980524202	0.774143980524202	0	Inf	Inf	NA
100	0	0	0.333496568144508	0.333496568144508	0	0.666993136289016	0.666993136289016	0
200	0	0	0.234789355646506	0.234789355646506	0	Inf	Inf	NA
300	0	0	0.191428345851079	0.191428345851079	0	0.382856691702158	0.382856691702158	0
400	0	0	0.165662704593509	0.165662704593509	0	Inf	Inf	NA
20	0.5	0	0.868621432492702	0.868621432492702	0.510146610945122	1.7372428649854	1.7372428649854	1.02029322189024
100	0.5	0	0.519873419547179	0.519873419547179	0.501903956403933	Inf	Inf	Inf
200	0.5	0	0.501354344673436	0.501354344673436	0.500944683440586	1.00270868934687	1.00270868934687	1.00188936688117
300	0.5	0	0.500634036018254	0.500634036018254	0.500628184576199	Inf	Inf	Inf
400	0.5	0	0.500470601723093	0.500470601723093	0.500470538933516	1.00094120344619	1.00094120344619	1.00094107786703
20	0	0.2	0.915979510477601	0.810278930120643	0	Inf	Inf	NA
100	0	0.2	0.577633000183867	0.402550648530703	0	1.15526600036773	0.805101297061405	0
200	0	0.2	0.525004826201929	0.320179226975418	0	Inf	Inf	NA
300	0	0.2	0.506471794408684	0.286115357185253	0	1.01294358881737	0.572230714370505	0
400	0	0.2	0.49698811378072	0.266642417020201	0	Inf	Inf	NA
20	0.5	0.2	1.00322849357224	0.913941897525024	0.51014661094598	2.00645698714448	1.82788379505005	1.02029322189196
100	0.5	0.2	0.687963615928856	0.581957969356469	0.501903956407215	Inf	Inf	Inf
200	0.5	0.2	0.64330427736007	0.53997761792196	0.500944683582278	1.28660855472014	1.07995523584392	1.00188936716456
300	0.5	0.2	0.628177973397942	0.527250081514338	0.500628184556482	Inf	Inf	Inf
400	0.5	0.2	0.62058491380121	0.521273628630578	0.500470539031192	1.24116982760242	1.04254725726116	1.00094107806238
20	0	0.4	1.24826966106239	0.902008781624905	0	Inf	Inf	NA
100	0	0.4	1.00048970444483	0.535718488896915	0	2.00097940888966	1.07143697779383	0
200	0	0.4	0.968061313615325	0.464334047338183	0	Inf	Inf	NA
300	0	0.4	0.957141724327968	0.434733585973637	0	1.91428344865594	0.869467171947274	0
400	0	0.4	0.951659784724175	0.417700638716887	0	Inf	Inf	NA
20	0.5	0.4	1.32637909182747	1.02166911044895	0.510146610945481	2.65275818365494	2.04333822089789	1.02029322189096
100	0.5	0.4	1.08284766521073	0.714135758111689	0.501903956402954	Inf	Inf	Inf
200	0.5	0.4	1.05124714681596	0.664383790452418	0.500944683580548	2.10249429363192	1.32876758090484	1.0018893671611
300	0.5	0.4	1.04062593791188	0.645318367264407	0.500628184560529	Inf	Inf	Inf
400	0.5	0.4	1.03529775834087	0.634814955241852	0.500470539033253	2.07059551668174	1.2696299104837	1.00094107806651
