n	d.pop	meand	over	meand.all	over.all
20	0	0.783206873746944	Inf	0.016563690481601	Inf
40	0	0.510067969026498	Inf	5.8349254851694e-05	Inf
60	0	0.415711394814989	Inf	-0.0043315141357965	-Inf
80	0	0.391609596692085	Inf	-0.00386031876529388	-Inf
100	0	0.350439714055733	Inf	-0.00359286834942401	-Inf
20	0.2	0.820998650738158	4.10499325369079	0.204017037375568	1.02008518687784
40	0.2	0.566458463169924	2.83229231584962	0.197392628938901	0.986963144694506
60	0.2	0.4617475907781	2.3087379538905	0.205017345938504	1.02508672969252
80	0.2	0.412973466613411	2.06486733306705	0.206158887149501	1.0307944357475
100	0.2	0.373626702758809	1.86813351379404	0.199579563242021	0.997897816210107
20	0.5	0.883787926623812	1.76757585324762	0.500716359434402	1.0014327188688
40	0.5	0.646086454871513	1.29217290974303	0.504427922567301	1.0088558451346
60	0.5	0.565349019800118	1.13069803960024	0.497885293971887	0.995770587943773
80	0.5	0.537022413234248	1.0740448264685	0.507988982199922	1.01597796439984
100	0.5	0.519992619118225	1.03998523823645	0.50202445585647	1.00404891171294
20	0.8	0.985826984757459	1.23228373094682	0.812165565069865	1.01520695633733
40	0.8	0.82742085347452	1.03427606684315	0.805736091436377	1.00717011429547
60	0.8	0.8012535208536	1.001566901067	0.798799076194114	0.998498845242642
80	0.8	0.807637765452999	1.00954720681625	0.807140061867659	1.00892507733457
100	0.8	0.800659396594687	1.00082424574336	0.800659396594687	1.00082424574336
