n	d.het	sd.het	power	power.tval	power.d2t	over	over.tval
20	0	0	0.027	0.027	0.025	1.08	1.08
100	0	0	0.02	0.02	0.0250000000000001	0.799999999999997	0.799999999999997
200	0	0	0.031	0.031	0.025	1.24	1.24
300	0	0	0.023	0.023	0.025	0.92	0.92
400	0	0	0.032	0.032	0.025	1.28	1.28
20	0.5	0	0.332	0.332	0.337708365563488	0.983096759969321	0.983096759969321
100	0.5	0	0.943	0.943	0.940427182324771	1.00273579679914	1.00273579679914
200	0.5	0	0.999	0.999	0.998768858824318	1.00023142609388	1.00023142609388
300	0.5	0	1	1	0.999983657348775	1.00001634291831	1.00001634291831
400	0.5	0	1	1	0.999999832468834	1.00000016753119	1.00000016753119
20	0	0.2	0.023	0.042	0.025	0.920000000000001	1.68
100	0	0.2	0.029	0.142	0.0250000000000001	1.16	5.67999999999998
200	0	0.2	0.022	0.193	0.025	0.879999999999999	7.71999999999999
300	0	0.2	0.034	0.236	0.025	1.36	9.44
400	0	0.2	0.019	0.258	0.025	0.759999999999999	10.32
20	0.5	0.2	0.239	0.346	0.337708365563488	0.707711221785143	1.02455264743791
100	0.5	0.2	0.519	0.811	0.940427182324771	0.551876859532083	0.862374052178264
200	0.5	0.2	0.619	0.909	0.998768858824318	0.619763015767877	0.910120486806139
300	0.5	0.2	0.647	0.949	0.999983657348775	0.647010573868147	0.949015509429477
400	0.5	0.2	0.666	0.953	0.999999832468834	0.666000111575775	0.953000159657228
20	0	0.4	0.018	0.099	0.025	0.720000000000001	3.96
100	0	0.4	0.024	0.252	0.0250000000000001	0.959999999999997	10.08
200	0	0.4	0.022	0.328	0.025	0.879999999999999	13.12
300	0	0.4	0.024	0.352	0.025	0.96	14.08
400	0	0.4	0.024	0.349	0.025	0.959999999999999	13.96
20	0.5	0.4	0.166	0.399	0.337708365563488	0.49154837998466	1.1814927928547
100	0.5	0.4	0.21	0.697	0.940427182324771	0.223302775533213	0.741152545460234
200	0.5	0.4	0.234	0.781	0.998768858824318	0.234288442148115	0.781962706485803
300	0.5	0.4	0.239	0.811	0.999983657348775	0.239003905957476	0.81101325410675
400	0.5	0.4	0.23	0.81	0.999999832468834	0.230000038532175	0.810000135700267
