n	sig.level	sd.het	pval	pval.tval	over	over.tval
20	5e-04	0	5e-04	5e-04	1	1
100	5e-04	0	0.000499999999999999	0.000499999999999999	0.999999999999999	0.999999999999999
200	5e-04	0	0.000500000000000003	0.000500000000000003	1.00000000000001	1.00000000000001
300	5e-04	0	0.000499999999999999	0.000499999999999999	0.999999999999998	0.999999999999998
400	5e-04	0	5e-04	5e-04	1	1
20	0.005	0	0.00500000000000001	0.00500000000000001	1	1
100	0.005	0	0.00500000000000027	0.00500000000000027	1.00000000000005	1.00000000000005
200	0.005	0	0.005	0.005	1	1
300	0.005	0	0.00499999999999999	0.00499999999999999	0.999999999999998	0.999999999999998
400	0.005	0	0.005	0.005	0.999999999999999	0.999999999999999
20	0.05	0	0.0499999999999999	0.0499999999999999	0.999999999999999	0.999999999999999
100	0.05	0	0.0500000000000002	0.0500000000000002	1	1
200	0.05	0	0.05	0.05	1	1
300	0.05	0	0.05	0.05	1	1
400	0.05	0	0.05	0.05	1	1
20	0.5	0	0.5	0.5	1	1
100	0.5	0	0.5	0.5	1	1
200	0.5	0	0.5	0.5	1	1
300	0.5	0	0.5	0.5	1	1
400	0.5	0	0.5	0.5	1	1
20	5e-04	0.2	5e-04	0.00265089204160445	1	5.3017840832089
100	5e-04	0.2	0.000500000000000001	0.042337653881535	1	84.67530776307
200	5e-04	0.2	0.000500000000000004	0.117311747532417	1.00000000000001	234.623495064833
300	5e-04	0.2	5e-04	0.186390330137445	1	372.780660274891
400	5e-04	0.2	5e-04	0.244352060889398	1	488.704121778797
20	0.005	0.2	0.00500000000000001	0.016103771854405	1	3.22075437088099
100	0.005	0.2	0.00500000000000027	0.102800763685275	1.00000000000005	20.560152737055
200	0.005	0.2	0.00499999999999999	0.207550614776545	0.999999999999998	41.510122955309
300	0.005	0.2	0.00499999999999999	0.287345954222908	0.999999999999998	57.4691908445817
400	0.005	0.2	0.005	0.348380569915741	0.999999999999999	69.6761139831481
20	0.05	0.2	0.0499999999999999	0.0952479385138377	0.999999999999998	1.90495877027675
100	0.05	0.2	0.0500000000000002	0.256268742168724	1	5.12537484337449
200	0.05	0.2	0.05	0.379825443098097	1	7.59650886196193
300	0.05	0.2	0.05	0.458197577749646	1	9.16395155499292
400	0.05	0.2	0.05	0.513098224647293	1	10.2619644929459
20	0.5	0.2	0.5	0.568311744015438	1	1.13662348803088
100	0.5	0.2	0.5	0.696857285613308	1	1.39371457122662
200	0.5	0.2	0.5	0.762873125420187	1	1.52574625084037
300	0.5	0.2	0.5	0.798742597171344	1	1.59748519434269
400	0.5	0.2	0.5	0.822089419120695	1	1.64417883824139
20	5e-04	0.4	0.000499999999999998	0.0234946370054755	0.999999999999996	46.989274010951
100	5e-04	0.4	0.000500000000000001	0.239512658143572	1	479.025316287145
200	5e-04	0.4	0.000500000000000003	0.395162117113759	1.00000000000001	790.324234227518
300	5e-04	0.4	5e-04	0.484207439667182	1	968.414879334363
400	5e-04	0.4	0.000499999999999999	0.543081519617116	0.999999999999999	1086.16303923423
20	0.005	0.4	0.00500000000000001	0.0723524956020477	1	14.4704991204095
100	0.005	0.4	0.00500000000000026	0.345160024278526	1.00000000000005	69.0320048557053
200	0.005	0.4	0.005	0.493980537703073	1	98.7961075406147
300	0.005	0.4	0.00499999999999999	0.573307067897411	0.999999999999998	114.661413579482
400	0.005	0.4	0.00499999999999999	0.624265276148194	0.999999999999998	124.853055229639
20	0.05	0.4	0.0499999999999999	0.21697153719448	0.999999999999998	4.33943074388959
100	0.05	0.4	0.0500000000000002	0.511726257531908	1	10.2345251506382
200	0.05	0.4	0.05	0.633758360363978	1	12.6751672072796
300	0.05	0.4	0.05	0.694616204064749	1	13.892324081295
400	0.05	0.4	0.0500000000000001	0.73266347174905	1	14.653269434981
20	0.5	0.4	0.5	0.675157895016808	1	1.35031579003362
100	0.5	0.4	0.5	0.822022066200017	1	1.64404413240003
200	0.5	0.4	0.5	0.870020973295993	1	1.74004194659199
300	0.5	0.4	0.5	0.892673070084002	1	1.785346140168
400	0.5	0.4	0.5	0.906519445025766	1	1.81303889005153
