n	sig.level	sd.het	pval	pval.tval	over	over.tval
20	5e-04	0	0	0	0	0
100	5e-04	0	0.001	0.001	2	2
200	5e-04	0	0	0	0	0
300	5e-04	0	0	0	0	0
400	5e-04	0	0.004	0.004	8	8
20	0.005	0	0.006	0.006	1.2	1.2
100	0.005	0	0.005	0.005	1	1
200	0.005	0	0.003	0.003	0.6	0.6
300	0.005	0	0.003	0.003	0.6	0.6
400	0.005	0	0.007	0.007	1.4	1.4
20	0.05	0	0.054	0.054	1.08	1.08
100	0.05	0	0.035	0.035	0.7	0.7
200	0.05	0	0.054	0.054	1.08	1.08
300	0.05	0	0.042	0.042	0.84	0.84
400	0.05	0	0.05	0.05	1	1
20	0.5	0	0.493	0.493	0.986	0.986
100	0.5	0	0.484	0.484	0.968	0.968
200	0.5	0	0.49	0.49	0.98	0.98
300	0.5	0	0.497	0.497	0.994	0.994
400	0.5	0	0.489	0.489	0.978	0.978
20	5e-04	0.2	0.001	0.001	2	2
100	5e-04	0.2	0.001	0.04	2	80
200	5e-04	0.2	0	0.123	0	246
300	5e-04	0.2	0	0.199	0	398
400	5e-04	0.2	0.001	0.25	2	500
20	0.005	0.2	0.006	0.02	1.2	4
100	0.005	0.2	0.004	0.108	0.8	21.6
200	0.005	0.2	0.002	0.215	0.4	43
300	0.005	0.2	0.005	0.298	1	59.6
400	0.005	0.2	0.008	0.352	1.6	70.4
20	0.05	0.2	0.046	0.08	0.92	1.6
100	0.05	0.2	0.054	0.282	1.08	5.64
200	0.05	0.2	0.048	0.387	0.96	7.74
300	0.05	0.2	0.051	0.437	1.02	8.74
400	0.05	0.2	0.054	0.52	1.08	10.4
20	0.5	0.2	0.492	0.559	0.984	1.118
100	0.5	0.2	0.508	0.698	1.016	1.396
200	0.5	0.2	0.487	0.768	0.974	1.536
300	0.5	0.2	0.481	0.783	0.962	1.566
400	0.5	0.2	0.504	0.822	1.008	1.644
20	5e-04	0.4	0	0.017	0	34
100	5e-04	0.4	0	0.223	0	446
200	5e-04	0.4	0	0.398	0	796
300	5e-04	0.4	0.001	0.422	2	844
400	5e-04	0.4	0.001	0.528	2	1056
20	0.005	0.4	0.005	0.067	1	13.4
100	0.005	0.4	0.007	0.327	1.4	65.4
200	0.005	0.4	0.005	0.498	1	99.6
300	0.005	0.4	0.004	0.525	0.8	105
400	0.005	0.4	0.006	0.589	1.2	117.8
20	0.05	0.4	0.032	0.211	0.64	4.22
100	0.05	0.4	0.045	0.518	0.9	10.36
200	0.05	0.4	0.051	0.641	1.02	12.82
300	0.05	0.4	0.045	0.698	0.9	13.96
400	0.05	0.4	0.054	0.698	1.08	13.96
20	0.5	0.4	0.492	0.674	0.984	1.348
100	0.5	0.4	0.504	0.817	1.008	1.634
200	0.5	0.4	0.507	0.878	1.014	1.756
300	0.5	0.4	0.439	0.892	0.878	1.784
400	0.5	0.4	0.479	0.89	0.958	1.78
