n	mu	tau2	power.blake	power.nat	power.sim	power.natconv	power.simconv
21	0.8	0	0.815457933766233	0.816787770721214	0.81504	0.816787770721214	0.81504
21	0.8	0.025	0.766878356105307	0.733341950163652	0.73428	0.790079651039604	0.7922
21	0.8	0.05	0.73531184772056	0.662249956586685	0.66104	0.769048007144266	0.76889
21	0.8	0.075	0.712763316108392	0.603000469098008	0.60415	0.751962858403396	0.75354
21	0.8	0.1	0.69563935355043	0.553670526009453	0.55382	0.737740216987255	0.73971
21	0.8	0.125	0.682070010895972	0.51232692399325	0.51189	0.725667217974433	0.72334
51	0.5	0	0.805347623689076	0.805898599094045	0.80512	0.805898599094045	0.80512
51	0.5	0.025	0.716119516909258	0.623570815828619	0.62468	0.750511216368102	0.75139
51	0.5	0.05	0.676350595443851	0.507094683598832	0.50576	0.717107976333708	0.71723
51	0.5	0.075	0.652653679667246	0.430384265198278	0.43096	0.694230936094212	0.69501
51	0.5	0.1	0.636493759879149	0.376814879652253	0.3768	0.677319552971088	0.67704
51	0.5	0.125	0.624572289371231	0.337480206096519	0.33587	0.664167374223358	0.66194
310	0.2	0	0.80012682951967	0.800217799113453	0.79945	0.800217799113453	0.79945
310	0.2	0.025	0.61208042497169	0.302107371940736	0.30319	0.648718982676165	0.64658
310	0.2	0.05	0.582135750985218	0.210696192962567	0.21085	0.612200736868542	0.61516
310	0.2	0.075	0.567906383427175	0.17236952894804	0.17317	0.593797057374349	0.59222
310	0.2	0.1	0.559183935489388	0.150911086879878	0.15195	0.582228573551935	0.58331
310	0.2	0.125	0.553140186410496	0.137015149263842	0.13686	0.574098862031845	0.57272
